"Environment and Climate Change Canada"
"Monthly Values for April - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"LETHBRIDGE","49.630","-112.799","AB","2.2","8",NA,"28.1","8","-18.8","8","",,NA,"23.6","8",NA,"","4","",,NA,"347.7","0.0","3033875"
"LETHBRIDGE CDA","49.695","-112.768","AB","",,NA,"",,"",,"",,NA,"34.0","2",NA,"0.0","5","",,NA,"","","3033890"
"LETHBRIDGE DEMO FARM AGDM","49.683","-112.750","AB","2.7","1",NA,"28.1","1","-23.0","0","",,NA,"29.7","8",NA,"","7","",,NA,"442.6","0.0","3033897"
"MEDICINE HAT","50.019","-110.721","AB","5.6","9",NA,"29.7","9","-14.1","8","",,NA,"4.4","9",NA,"","1","",,NA,"262.4","1.6","3034479"
"MEDICINE HAT RCS","50.025","-110.717","AB","4.8","1",NA,"29.4","1","-14.8","0","",,NA,"5.9","1",NA,"","1","",,NA,"384.6","1.6","3034485"
"MOSSLEIGH AGCM","50.673","-113.349","AB","0.6","1",NA,"28.6","1","-24.1","0","",,NA,"17.5","2",NA,"","4","",,NA,"505.4","0.0","3034577"
"NIER AGDM","51.369","-114.099","AB","0.8","3",NA,"25.5","2","-18.5","2","",,NA,"20.6","4",NA,"","5","",,NA,"464.2","0.0","3034795"
"PINCHER CREEK","49.521","-113.997","AB","1.4","5",NA,"24.2","5","-20.1","5","",,NA,"38.9","5",NA,"","8","",,NA,"414.1","0.0","3035198"
"PINCHER CREEK CLIMATE","49.522","-114.005","AB","1.0","1",NA,"23.3","1","-21.4","0","",,NA,"53.4","1",NA,"","9","",,NA,"492.4","0.0","3035208"
"QUEENSTOWN","50.606","-112.983","AB","-0.9","1","-6.3","27.5","1","-21.0","0","18.0","1",NA,"18.0","1",NA,"0.0","3","","",NA,"548.8","0.0","3035340"
"QUEENSTOWN","50.598","-112.803","AB","-1.3","4",NA,"27.9","3","-21.5","1","",,NA,"16.3","4",NA,"","4","",,NA,"500.6","0.0","3035342"
"RAYMOND AGDM","49.483","-112.683","AB","3.1","1",NA,"28.3","1","-20.8","0","",,NA,"31.9","4",NA,"","6","",,NA,"433.5","0.0","3035422"
"ROLLING HILLS AGCM","50.265","-111.701","AB","2.7","1",NA,"29.1","1","-17.9","0","",,NA,"9.0","3",NA,"","3","",,NA,"443.0","0.0","3035530"
"ROSEMARY AGDM","50.833","-112.050","AB","0.8","1",NA,"28.4","1","-26.6","0","",,NA,"8.4","9",NA,"","2","",,NA,"497.6","0.0","3035650"
"SEVEN PERSONS AGDM","49.917","-110.917","AB","3.9","1",NA,"28.3","1","-14.9","0","",,NA,"5.5","9",NA,"","1","",,NA,"408.6","1.0","3035845"
"STANDARD AGCM","51.228","-112.982","AB","1.3","1",NA,"27.9","1","-21.4","0","",,NA,"11.2","4",NA,"","2","",,NA,"483.6","0.0","3036086"
"STAVELY AAFC","50.183","-113.883","AB","1.9","1",NA,"26.4","1","-17.3","0","",,NA,"33.3","1",NA,"","6","",,NA,"465.7","0.2","3036099"
"STRATHMORE AGDM","51.033","-113.283","AB","0.1","1",NA,"26.8","1","-20.1","0","",,NA,"16.5","5",NA,"","4","",,NA,"518.1","0.0","3036205"
"TABER","49.792","-112.124","AB","2.6","16",NA,"24.0","12","-19.5","10","19.0","9",NA,"29.4","9",NA,"0.0","7","","",NA,"215.3","0.0","3036360"
"TRAVERS AGCM","50.304","-112.863","AB","1.9","1",NA,"27.9","1","-18.7","0","",,NA,"21.8","2",NA,"","5","",,NA,"467.3","0.0","3036500"
"VAUXHALL CDA CS","50.050","-112.133","AB","2.3","1",NA,"28.4","1","-20.0","0","",,NA,"",,NA,"","","",,NA,"456.1","0.0","3036682"
"WRENTHAM AGDM","49.500","-112.117","AB","1.1","11",NA,"27.5","9","-19.1","3","",,NA,"10.6","12",NA,"","3","",,NA,"321.3","0.0","3037675"
"OKOTOKS","50.729","-113.961","AB","1.3","0","-3.7","28.0","0","-18.0","0","40.2","0","184.0","47.8","0","126.0","0.0","7","","",NA,"501.1","0.0","303M9JM"
"PICTURE BUTTE WEST","49.871","-112.788","AB","-3.9","15",NA,"15.5","15","-21.0","14","27.0","15",NA,"31.4","15",NA,"","5","","",NA,"328.9","0.0","303N1G3"
"DEL BONITA AGDM","49.050","-112.817","AB","0.4","1",NA,"25.5","1","-21.6","0","",,NA,"28.8","2",NA,"","7","",,NA,"509.6","0.0","3042045"
"MANYBERRIES AGCM","49.364","-110.678","AB","1.8","1",NA,"26.6","1","-21.3","0","",,NA,"10.5","2",NA,"","4","",,NA,"469.5","0.0","3044203"
"MASINASIN AGDM","49.137","-111.652","AB","2.2","5",NA,"27.5","4","-20.6","1","",,NA,"16.6","5",NA,"","5","",,NA,"394.3","0.0","3044232"
"MILK RIVER","49.133","-112.050","AB","2.4","1",NA,"27.8","1","-24.1","0","",,NA,"21.7","1",NA,"","6","",,NA,"451.3","0.0","3044533"
"ONEFOUR CDA","49.117","-110.467","AB","1.0","1",NA,"27.5","1","-21.5","0","",,NA,"11.8","1",NA,"","3","",,NA,"493.2","0.0","3044923"
"PAKOWKI LAKE AGCM","49.225","-111.126","AB","2.1","1",NA,"27.2","1","-23.7","0","",,NA,"11.3","8",NA,"","4","",,NA,"461.8","0.0","3045000"
"BANFF CS","51.193","-115.552","AB","1.8","1",NA,"22.7","1","-18.9","0","",,NA,"23.2","1",NA,"","6","",,NA,"469.4","0.0","3050519"
"BEAVER MINES","49.468","-114.175","AB","0.9","0",NA,"22.7","0","-21.9","0","",,NA,"57.5","0",NA,"1.0","8","",,NA,"513.6","0.0","3050602"
"BOW VALLEY","51.083","-115.067","AB","1.4","3",NA,"24.7","3","-21.8","0","",,NA,"31.2","3",NA,"","7","",,NA,"446.9","0.0","3050778"
"CROWSNEST","49.628","-114.482","AB","1.1","1",NA,"22.2","1","-20.9","0","",,NA,"14.4","26",NA,"","2","",,NA,"491.0","0.0","3051R4R"
"JASPER WARDEN","52.926","-118.030","AB","1.5","7",NA,"25.4","3","-13.4","4","",,NA,"5.1","8",NA,"","1","",,NA,"379.0","0.0","3053536"
"KANANASKIS","51.028","-115.035","AB","1.1","0","-2.0","24.0","0","-22.0","0","24.2","0","54.0","57.4","0","104.0","0.0","8","","",NA,"506.3","0.0","3053600"
"NORDEGG CS","52.492","-116.040","AB","0.8","1",NA,"23.4","1","-19.4","0","",,NA,"35.4","1",NA,"1.0","6","",,NA,"498.0","0.0","3054843"
"PEKISKO","50.368","-114.416","AB","-0.4","2",NA,"22.0","2","-22.1","0","",,NA,"58.5","4",NA,"5.0","7","",,NA,"515.1","0.0","3055119"
"WATERTON PARK GATE","49.131","-113.809","AB","2.0","1",NA,"23.1","1","-22.2","0","",,NA,"50.2","1",NA,"","9","",,NA,"463.8","0.0","3056214"
"NAKISKA RIDGETOP","50.943","-115.190","AB","-4.0","0",NA,"13.3","0","-20.5","0","",,NA,"",,NA,"","","",,NA,"660.1","0.0","305MGFF"
"ATHABASCA AGCM","54.635","-113.382","AB","1.0","1",NA,"27.0","1","-25.9","0","",,NA,"10.7","11",NA,"","2","",,NA,"492.0","0.0","3060330"
"ATMORE AGDM","54.782","-112.825","AB","-0.6","3",NA,"26.9","3","-28.3","0","",,NA,"21.4","2",NA,"","4","",,NA,"501.2","0.0","3060406"
"BARRHEAD CS","54.095","-114.448","AB","0.8","1",NA,"27.6","1","-26.5","0","",,NA,"13.4","1",NA,"","4","",,NA,"499.8","0.0","3060535"
"BRULE BLACK CAT","53.350","-117.867","AB","5.7","28","2.3","25.5","27","-4.5","28","0.0","27",NA,"1.2","27",NA,"0.0","0","","",NA,"24.7","0.0","3060903"
"CAMPSIE AUTO","54.131","-114.678","AB","0.5","1",NA,"27.3","0","-26.0","1","",,NA,"13.4","1",NA,"","4","",,NA,"508.5","0.0","3061201"
"DAPP AGDM","54.317","-113.950","AB","-0.8","2",NA,"25.9","2","-28.9","0","",,NA,"26.9","2",NA,"","10","",,NA,"526.6","0.0","3061975"
"EDSON","53.579","-116.465","AB","-0.1","12",NA,"20.4","12","-25.4","12","",,NA,"11.1","12",NA,"","2","",,NA,"325.1","0.0","3062239"
"EDSON CLIMATE","53.580","-116.453","AB","1.1","0",NA,"25.1","0","-23.3","0","",,NA,"13.2","0",NA,"","2","",,NA,"507.1","0.0","3062246"
"ENTWISTLE","53.600","-114.983","AB","1.5","0","-3.4","27.5","0","-21.5","0","13.0","0","140.0","25.2","0","86.0","0.0","3","","",NA,"494.0","0.0","3062451"
"EVANSBURG2 AGCM","53.614","-115.062","AB","0.0","1",NA,"27.2","1","-26.9","0","",,NA,"13.5","2",NA,"","2","",,NA,"521.1","0.0","3062476"
"FORT ASSINIBOINE AGCM","54.410","-114.769","AB","1.0","2",NA,"27.0","2","-22.1","0","",,NA,"16.6","2",NA,"","3","",,NA,"477.2","0.0","3062660"
"FORT MCMURRAY CS","56.651","-111.213","AB","0.1","1",NA,"25.4","1","-25.5","0","",,NA,"3.6","1",NA,"","1","",,NA,"519.2","0.0","3062696"
"FORT MCMURRAY A","56.653","-111.223","AB","-0.3","2",NA,"25.3","2","-24.8","2","",,NA,"0.0","2",NA,"","0","",,NA,"513.4","0.0","3062697"
"HENDRICKSON CREEK","53.795","-118.447","AB","-2.0","0",NA,"21.3","0","-29.6","0","",,NA,"",,NA,"35.0","","",,NA,"600.9","0.0","3063135"
"ISLAND LAKE SOUTH","54.821","-113.543","AB","0.0","0",NA,"25.6","0","-26.4","0","",,NA,"18.4","0",NA,"","3","",,NA,"540.1","0.0","3063600"
"LAC LA BICHE CLIMATE","54.769","-112.024","AB","0.4","4",NA,"27.3","3","-25.7","1","",,NA,"15.1","5",NA,"","3","",,NA,"457.9","0.0","3063686"
"MILDRED LAKE","57.041","-111.559","AB","1.1","1",NA,"23.6","1","-20.8","0","",,NA,"6.1","1",NA,"","2","",,NA,"491.1","0.0","3064528"
"RICH LAKE AGDM","54.500","-111.700","AB","-0.9","1",NA,"25.6","1","-28.6","0","",,NA,"29.9","1",NA,"","5","",,NA,"549.3","0.0","3065475"
"SLAVE LAKE","55.293","-114.777","AB","-1.3","5",NA,"25.3","5","-23.3","5","",,NA,"5.7","5",NA,"","3","",,NA,"482.3","0.0","3065995"
"SLAVE LAKE RCS","55.293","-114.777","AB","-1.1","0",NA,"24.9","0","-23.7","0","",,NA,"52.5","0",NA,"","16","",,NA,"572.1","0.0","3065997"
"TAWATINAW AGCM","54.300","-113.520","AB","0.5","7",NA,"26.1","5","-20.7","4","",,NA,"9.3","8",NA,"","2","",,NA,"402.9","0.0","3066367"
"WHITECOURT A","54.144","-115.787","AB","",,NA,"25.0","0","",,"",,NA,"",,NA,"","","",,NA,"","","3067373"
"WILLOW CREEK 1","53.386","-118.348","AB","-0.2","1",NA,"21.4","1","-23.8","0","",,NA,"20.0","1",NA,"","4","",,NA,"528.6","0.0","306GE70"
"BEAVERLODGE RCS","55.197","-119.396","AB","0.1","1",NA,"20.6","1","-22.1","0","",,NA,"12.6","1",NA,"","3","",,NA,"518.5","0.0","3070600"
"BROWNVALE AGCM","56.118","-117.886","AB","0.9","10",NA,"21.9","9","-22.6","3","",,NA,"8.1","11",NA,"","2","",,NA,"342.4","0.0","3070800"
"EAGLESHAM AGCM","55.808","-117.887","AB","-0.5","1",NA,"23.8","1","-24.1","0","",,NA,"13.3","1",NA,"","5","",,NA,"535.2","0.0","3072151"
"EGG ISLAND","58.981","-110.439","AB","",,NA,"",,"-19.2","29","",,NA,"",,NA,"","","",,NA,"","","3072246"
"FAIRVIEW AGDM","56.081","-118.439","AB","-1.0","1",NA,"22.6","1","-24.2","0","",,NA,"10.3","2",NA,"","5","",,NA,"551.4","0.0","3072525"
"FORT CHIPEWYAN","58.767","-111.117","AB","-5.6","7",NA,"17.4","7","-26.1","7","",,NA,"6.5","7",NA,"","2","",,NA,"543.5","0.0","3072655"
"FORT CHIPEWYAN RCS","58.767","-111.117","AB","-3.2","1",NA,"17.7","1","-26.9","0","",,NA,"30.6","1",NA,"","9","",,NA,"615.6","0.0","3072659"
"FORT VERMILION","58.382","-116.040","AB","-1.1","0",NA,"22.2","0","-26.0","0","",,NA,"18.9","1",NA,"","6","",,NA,"573.4","0.0","3072723"
"GRANDE PRAIRIE A","55.180","-118.885","AB","-1.4","0",NA,"22.9","0","-28.8","0","17.3","0",NA,"16.4","0",NA,"","4","",,NA,"583.2","0.0","3072921"
"HAWK HILLS AGCM","57.265","-117.298","AB","-1.2","1",NA,"25.1","1","-31.6","0","",,NA,"9.1","1",NA,"","2","",,NA,"557.4","0.0","3073071"
"HIGH LEVEL","58.622","-117.165","AB","-1.8","0",NA,"21.9","0","-25.9","0","",,NA,"11.9","0",NA,"","3","",,NA,"592.5","0.0","3073140"
"HIGH LEVEL A","58.621","-117.165","AB","-1.5","1","-3.5","21.5","1","-26.0","1","7.8","1",NA,"19.4","1",NA,"0.0","4","","",NA,"564.7","0.0","3073146"
"JEAN COTE AGCM","55.913","-117.120","AB","-0.3","1",NA,"22.1","1","-21.6","0","",,NA,"12.6","2",NA,"","4","",,NA,"531.0","0.0","3073535"
"LA CRETE AGCM","58.172","-116.343","AB","-0.3","1",NA,"23.1","1","-25.2","0","",,NA,"23.0","1",NA,"","6","",,NA,"531.4","0.0","3073730"
"LA GLACE AGCM","55.422","-119.255","AB","-1.4","1",NA,"19.5","1","-30.0","0","",,NA,"15.3","1",NA,"","4","",,NA,"563.3","0.0","3073740"
"MANNING","56.951","-117.644","AB","",,"","",,"-23.5","28","4.0","28",NA,"4.0","28",NA,"","1","","",NA,"","","3074182"
"CLEARDALE AGDM","56.314","-119.745","AB","-0.2","2",NA,"22.6","2","-27.1","0","",,NA,"31.0","3",NA,"","8","",,NA,"510.1","0.0","3074935"
"PEACE RIVER A","56.227","-117.448","AB","-1.3","0",NA,"22.6","0","-26.9","0","9.6","0",NA,"9.2","0",NA,"","3","",,NA,"579.9","0.0","3075041"
"PEORIA AGDM","55.621","-118.293","AB","0.2","3",NA,"22.0","3","-27.9","0","",,NA,"7.4","15",NA,"","2","",,NA,"481.5","0.0","3075160"
"RED EARTH","56.552","-115.278","AB","0.6","1",NA,"25.4","1","-23.8","0","",,NA,"52.3","1",NA,"","19","",,NA,"504.2","0.0","3075488"
"RYCROFT AGCM","55.777","-118.668","AB","-1.7","15",NA,"21.9","14","-27.4","3","",,NA,"8.8","15",NA,"","2","",,NA,"295.2","0.0","3075601"
"SAVANNA AGCM","56.076","-119.345","AB","-1.0","13",NA,"21.6","13","-23.3","2","",,NA,"3.3","13",NA,"","1","",,NA,"323.0","0.0","3075770"
"TEEPEE CREEK AGCM","55.352","-118.408","AB","-1.0","1",NA,"24.6","1","-30.5","0","",,NA,"15.5","7",NA,"","5","",,NA,"549.6","0.0","3076366"
"VALLEYVIEW AGDM","55.098","-117.199","AB","0.2","1",NA,"21.9","1","-24.4","0","",,NA,"13.9","2",NA,"","4","",,NA,"517.5","0.0","3076680"
"COLD LAKE A","54.417","-110.283","AB","0.7","0","-3.4","27.4","0","-22.6","0","14.2","0","102.0","44.0","0","141.0","","6","",,NA,"520.5","0.2","3081680"
"DUPRE AGCM","54.367","-110.868","AB","-0.4","1",NA,"27.6","1","-26.4","1","",,NA,"24.2","1",NA,"","4","",,NA,"533.8","0.0","3081690"
"BRATT'S LAKE CLIMATE","50.201","-104.710","SK","-1.2","2",NA,"24.2","2","-24.5","0","",,NA,"5.8","2",NA,"","2","",,NA,"536.3","0.0","4010811"
"BROADVIEW","50.368","-102.571","SK","-1.9","0","-6.0","25.7","0","-22.9","0","",,NA,"10.2","0","44.0","","2","",,NA,"597.2","0.0","4010879"
"BUFFALO POUND LAKE","50.550","-105.383","SK","0.1","0",NA,"24.0","0","-23.5","0","4.0","0",NA,"4.0","0",NA,"0.0","1","","",NA,"536.9","0.0","4010984"
"ESTEVAN A","49.210","-102.966","SK","0.1","0",NA,"26.6","0","-20.6","0","4.0","0",NA,"5.0","0",NA,"","3","",,NA,"536.9","0.0","4012401"
"ESTEVAN","49.217","-102.967","SK","0.2","0",NA,"26.9","0","-20.5","0","",,NA,"3.3","0",NA,"","1","",,NA,"535.0","0.0","4012410"
"INDIAN HEAD CDA","50.550","-103.650","SK","-2.1","0","-6.2","23.8","0","-24.8","0","",,NA,"8.5","0","38.0","","2","",,NA,"602.5","0.0","4013480"
"KELLIHER","51.257","-103.753","SK","-2.9","2","-6.6","22.5","2","-23.0","2","10.2","2",NA,"10.8","2",NA,"","2","","",NA,"586.3","0.0","4013660"
"KIPLING","50.200","-102.733","SK","-1.2","0","-5.0","24.0","0","-21.5","0","5.0","0","37.0","13.4","0","49.0","0.0","3","","",NA,"575.4","0.0","4014040"
"LANGENBURG","50.900","-101.717","SK","-2.2","0","-5.8","25.0","0","-24.0","0","6.8","0","67.0","10.0","0","42.0","0.0","3","","",NA,"606.5","0.0","4014145"
"LAST MOUNTAIN CS","51.417","-105.250","SK","-1.6","0","-6.1","23.2","0","-25.5","0","",,NA,"4.4","0","17.0","4.0","2","",,NA,"588.1","0.0","4014156"
"LEROY","52.000","-104.633","SK","-2.9","0","-6.7","22.5","0","-25.0","0","6.4","0","74.0","10.2","0","46.0","0.0","2","","",NA,"627.0","0.0","4014322"
"LIPTON 2","51.152","-103.889","SK","2.6","12","-1.4","25.0","12","-23.5","12","14.4","12",NA,"14.4","12",NA,"0.0","2","","",NA,"276.5","0.0","4014481"
"MOOSE JAW CS","50.332","-105.538","SK","0.7","0",NA,"25.6","0","-20.6","0","",,NA,"9.2","0",NA,"","1","",,NA,"520.2","0.0","4015322"
"MUENSTER","52.333","-105.000","SK","-3.1","14","-6.7","18.5","14","-23.0","14","2.0","14",NA,"2.0","14",NA,"","1","","",NA,"338.2","0.0","4015440"
"OXBOW","49.317","-102.117","SK","-1.2","1",NA,"28.0","1","-23.0","1","1.0","1",NA,"4.0","1",NA,"0.0","2","","",NA,"557.0","0.0","4015800"
"QU'APPELLE 1","50.567","-103.983","SK","0.0","0","-4.6","23.5","0","-23.0","0","9.0","0","75.0","12.7","0","47.0","0.0","4","","",NA,"538.9","0.0","4016322"
"REGINA RCS","50.433","-104.667","SK","-0.6","0",NA,"24.5","0","-23.9","0","",,NA,"5.1","0",NA,"","1","",,NA,"558.9","0.0","4016699"
"WATROUS EAST","51.667","-105.400","SK","-2.4","1",NA,"24.2","1","-26.2","1","",,NA,"6.7","1",NA,"","2","",,NA,"590.9","0.0","4018642"
"YELLOW GRASS NORTH","49.817","-104.183","SK","-0.3","1",NA,"26.4","1","-21.8","0","",,NA,"7.1","1",NA,"","1","",,NA,"530.6","0.0","4019041"
"YORKTON","51.265","-102.464","SK","-2.4","0",NA,"25.7","0","-22.8","0","",,NA,"4.1","0",NA,"","1","",,NA,"612.2","0.0","4019073"
"YORKTON","51.265","-102.462","SK","-1.9","2",NA,"25.6","2","-22.6","2","",,NA,"1.2","2",NA,"","1","",,NA,"557.7","0.0","4019075"
"WYNYARD (AUT)","51.767","-104.200","SK","-2.4","1",NA,"22.4","1","-21.9","1","",,NA,"6.5","1",NA,"","1","",,NA,"591.5","0.0","40190LN"
"WEYBURN","49.700","-103.800","SK","-0.5","0",NA,"23.8","0","-22.9","0","",,NA,"7.4","0",NA,"","1","",,NA,"555.5","0.0","401HP5R"
"ASSINIBOIA AIRPORT","49.729","-105.946","SK","0.5","0",NA,"25.1","0","-21.2","0","",,NA,"15.0","0",NA,"","3","",,NA,"524.2","0.0","4020286"
"BEECHY","50.832","-107.311","SK","1.5","0","-4.1","27.5","0","-24.0","0","11.6","0","183.0","12.6","0","72.0","0.0","4","","",NA,"496.4","0.0","4020560"
"ELBOW CS","51.133","-106.583","SK","0.8","0",NA,"26.0","0","-20.3","0","",,NA,"7.1","0",NA,"","2","",,NA,"516.4","0.0","4022359"
"ELBOW 2 NE","51.167","-106.550","SK","1.6","2","-3.2","26.5","2","-22.0","2","12.2","2",NA,"12.2","2",NA,"0.0","2","","",NA,"459.1","0.0","4022363"
"LUCKY LAKE","50.950","-107.150","SK","0.2","1",NA,"26.5","1","-23.5","0","",,NA,"7.4","1",NA,"","1","",,NA,"516.9","0.0","4024714"
"MAPLE CREEK","49.903","-109.466","SK","3.5","0",NA,"27.3","0","-19.0","0","",,NA,"8.1","0",NA,"","2","",,NA,"435.0","1.3","4024919"
"ROCK POINT","51.154","-107.263","SK","1.1","0","-4.0","26.5","0","-23.5","0","7.0","0","77.0","7.2","0","34.0","0.0","2","","",NA,"507.1","0.0","4026847"
"STEWART VALLEY","50.600","-107.800","SK","3.6","13","-2.2","25.0","13","-21.5","13","0.0","13",NA,"0.0","13",NA,"0.0","0","","",NA,"245.1","0.0","4027775"
"SWIFT CURRENT","50.292","-107.691","SK","-0.8","6",NA,"22.2","6","-23.8","6","",,NA,"4.8","6",NA,"","1","",,NA,"451.8","0.0","4028038"
"SWIFT CURRENT CDA","50.267","-107.733","SK","1.2","1","-3.9","25.9","1","-23.5","1","",,NA,"7.1","1",NA,"","2","",,NA,"485.9","0.0","4028060"
"LEADER AIRPORT","50.909","-109.501","SK","2.4","0",NA,"29.5","0","-21.1","0","",,NA,"1.8","0",NA,"","1","",,NA,"468.9","0.0","402DAF0"
"CORONACH","49.117","-105.517","SK","-3.8","9","-8.9","22.0","9","-25.5","8","13.0","9",NA,"13.0","9",NA,"","3","","",NA,"458.8","0.0","4031844"
"CORONACH SPC","49.050","-105.483","SK","0.2","0","-5.0","24.7","0","-24.4","0","",,NA,"33.2","0","155.0","","4","",,NA,"535.0","0.0","40318MN"
"CYPRESS HILLS PARK","49.641","-109.514","SK","0.0","0",NA,"23.9","0","-22.1","0","",,NA,"13.8","0",NA,"","4","",,NA,"540.9","0.0","4031999"
"EASTEND CYPRESS (AUT)","49.438","-108.989","SK","-0.3","0",NA,"24.7","0","-23.4","0","",,NA,"13.1","0",NA,"","3","",,NA,"549.8","0.0","4032322"
"MANKOTA","49.099","-107.024","SK","1.6","3","-3.6","25.7","2","-26.3","1","",,NA,"25.1","3",NA,"","3","",,NA,"443.7","0.0","4034910"
"ROCKGLEN (AUT)","49.168","-105.979","SK","-0.6","2",NA,"24.4","2","-23.7","1","",,NA,"9.1","2",NA,"","2","",,NA,"520.2","0.0","4036844"
"VAL MARIE SOUTHEAST","49.058","-107.586","SK","0.3","0",NA,"25.7","0","-27.7","0","",,NA,"11.2","0",NA,"","3","",,NA,"529.8","0.0","4038412"
"BUTTE ST PIERRE","53.450","-109.200","SK","-1.4","1","-5.2","26.0","1","-26.5","1","6.6","1",NA,"10.6","1",NA,"","3","","",NA,"563.4","0.0","4041000"
"KINDERSLEY A","51.515","-109.181","SK","-0.2","1",NA,"28.8","0","-27.3","1","0.0","0",NA,"7.2","0",NA,"","1","",,NA,"527.1","0.0","4043901"
"NORTH BATTLEFORD RCS","52.772","-108.256","SK","-1.5","0",NA,"27.5","0","-24.7","0","",,NA,"7.4","0",NA,"","1","",,NA,"585.6","0.0","4045607"
"NORTH BATTLEFORD","52.769","-108.244","SK","-0.1","8",NA,"27.7","8","-24.1","8","",,NA,"0.5","8",NA,"","0","",,NA,"397.3","0.0","4045695"
"ROSETOWN EAST","51.567","-107.917","SK","-1.1","0",NA,"27.8","0","-28.8","0","",,NA,"6.1","0",NA,"","1","",,NA,"571.9","0.0","4046884"
"SCOTT CDA","52.360","-108.835","SK","-2.2","0","-6.0","26.2","0","-26.4","0","",,NA,"8.5","0","39.0","","2","",,NA,"605.5","0.0","4047240"
"SONNINGDALE","52.317","-107.767","SK","-1.3","6",NA,"25.0","6","-24.5","6","5.0","6",NA,"6.2","6",NA,"0.0","3","","",NA,"463.0","0.0","4047644"
"WASECA RCS","53.131","-109.405","SK","-1.1","0",NA,"26.4","0","-24.2","0","",,NA,"14.2","0",NA,"","3","",,NA,"573.1","0.0","4048521"
"MELFORT","52.817","-104.600","SK","-3.4","1",NA,"22.3","1","-26.1","0","",,NA,"5.0","1",NA,"","1","",,NA,"619.3","0.0","4055079"
"OUTLOOK PFRA","51.483","-107.050","SK","0.9","1","-4.4","26.8","1","-20.7","0","",,NA,"5.9","1",NA,"","1","",,NA,"494.8","0.0","4055736"
"PILGER","52.417","-105.150","SK","-3.6","1",NA,"21.9","1","-25.3","0","",,NA,"8.4","1",NA,"","2","",,NA,"625.3","0.0","4056121"
"PRINCE ALBERT A","53.214","-105.673","SK","-2.7","0",NA,"23.2","0","-26.5","0","4.8","1",NA,"7.4","0",NA,"","2","",,NA,"619.5","0.0","4056241"
"PRINCE ALBERT GLASS FIELD","53.210","-105.677","SK","-3.8","3",NA,"19.8","3","-28.0","2","",,NA,"8.6","3",NA,"","3","",,NA,"589.2","0.0","4056243"
"SASKATOON RCS","52.174","-106.719","SK","-0.7","0",NA,"26.2","0","-24.6","0","",,NA,"9.1","0",NA,"","3","",,NA,"560.4","0.0","4057165"
"BUFFALO NARROWS (AUT)","55.841","-108.421","SK","-1.6","0",NA,"26.0","0","-24.4","0","",,NA,"12.6","0",NA,"","5","",,NA,"589.1","0.0","4060983"
"CIGAR LAKE","58.083","-104.483","SK","-17.1","15","-13.5","7.0","15","-40.0","14","0.0","15",NA,"0.0","15",NA,"","0","","",NA,"527.0","0.0","4061570"
"COLLINS BAY SK","58.229","-103.678","SK","-6.9","0",NA,"16.8","0","-34.6","0","",,NA,"17.4","0",NA,"","7","",,NA,"747.6","0.0","4061620"
"COLLINS BAY","58.190","-103.712","SK","-15.0","14",NA,"9.3","14","-34.6","14","",,NA,"4.0","14",NA,"","2","",,NA,"527.8","0.0","4061629"
"COLLINS BAY CAMECO","58.183","-103.700","SK","-6.9","0",NA,"17.0","0","-32.0","0","14.0","0",NA,"22.6","0",NA,"0.0","6","","",NA,"745.7","0.0","4061632"
"ISLAND FALLS (AUT)","55.533","-102.350","SK","-4.4","0",NA,"21.9","0","-34.5","0","",,NA,"2.3","0",NA,"","1","",,NA,"670.5","0.0","4063605"
"JIMMY LAKE AWOS","54.908","-109.962","SK","0.3","2",NA,"25.5","2","-22.1","1","",,NA,"24.0","2",NA,"","5","",,NA,"495.7","0.0","4063623"
"KEY LAKE","57.250","-105.600","SK","-11.1","7",NA,"13.4","7","-39.7","5","",,NA,"23.7","7",NA,"","5","",,NA,"668.4","0.0","4063753"
"KEY LAKE","57.250","-105.617","SK","-6.4","0","-4.4","19.5","0","-39.0","0","14.4","0","81.0","15.2","0","64.0","0.0","3","","",NA,"731.2","0.0","4063755"
"KEY LAKE","57.256","-105.618","SK","-8.8","8",NA,"14.3","8","-36.8","8","",,NA,"13.5","8",NA,"","3","",,NA,"588.9","0.0","4063757"
